name,team,position,sport,projected_points
Shohei Ohtani,LAD,DH,MLB,1066.700
Tarik Skubal,DET,SP,MLB,703.600
Garrett Crochet,BOS,SP,MLB,661.100
Paul Skenes,PIT,SP,MLB,657.050
Aaron Judge,NYY,OF,MLB,629.000
Juan Soto,NYM,OF,MLB,623.750
Logan Webb,SF,SP,MLB,623.450
Cristopher Sanchez,PHI,SP,MLB,617.000
Bryan Woo,SEA,SP,MLB,597.200
Bobby Witt Jr.,KC,SS,MLB,591.750
Hunter Brown,HOU,SP,MLB,579.900
Framber Valdez,DET,SP,MLB,575.700
Max Fried,NYY,SP,MLB,567.250
Jose Ramirez,CLE,3B,MLB,566.000
Dylan Cease,TOR,SP,MLB,564.150
Ronald Acuna Jr.,ATL,OF,MLB,561.000
Jesus Luzardo,PHI,SP,MLB,560.250
Hunter Greene,CIN,SP,MLB,550.700
Kyle Tucker,LAD,OF,MLB,547.250
Vladimir Guerrero Jr.,TOR,1B,MLB,546.250
Logan Gilbert,SEA,SP,MLB,545.450
Corbin Carroll,ARI,OF,MLB,542.750
Chris Sale,ATL,SP,MLB,541.650
Kevin Gausman,TOR,SP,MLB,540.300
Gunnar Henderson,BAL,SS,MLB,537.000
Kyle Schwarber,PHI,OF,MLB,537.000
Elly De La Cruz,CIN,SS,MLB,536.750
Sonny Gray,BOS,SP,MLB,536.650
George Kirby,SEA,SP,MLB,535.000
Fernando Tatis Jr.,SD,OF,MLB,532.000
Julio Rodriguez,SEA,OF,MLB,531.500
Joe Ryan,MIN,SP,MLB,530.800
Yoshinobu Yamamoto,LAD,SP,MLB,525.250
Jacob deGrom,TEX,SP,MLB,524.000
Nick Pivetta,SD,SP,MLB,523.700
Freddy Peralta,NYM,SP,MLB,521.100
Luis Castillo,SEA,SP,MLB,520.950
Cole Ragans,KC,SP,MLB,520.300
Tanner Bibee,CLE,SP,MLB,518.900
Zac Gallen,ARI,SP,MLB,511.000
Cal Raleigh,SEA,C,MLB,505.750
Brent Rooker,ATH,OF,MLB,502.500
Junior Caminero,TB,3B,MLB,501.500
Pete Alonso,BAL,1B,MLB,500.500
MacKenzie Gore,TEX,SP,MLB,497.750
Aaron Nola,PHI,SP,MLB,494.750
Jackson Chourio,MIL,OF,MLB,494.000
Bryce Harper,PHI,1B,MLB,493.500
Nathan Eovaldi,TEX,SP,MLB,493.150
Spencer Strider,ATL,SP,MLB,491.900
Ranger Suarez,BOS,SP,MLB,491.200
Matt Olson,ATL,1B,MLB,490.750
Robbie Ray,SF,SP,MLB,489.250
Rafael Devers,SF,1B,MLB,488.000
Ryan Pepiot,TB,SP,MLB,487.100
Francisco Lindor,NYM,SS,MLB,486.250
Freddie Freeman,LAD,1B,MLB,486.250
Nick Kurtz,ATH,1B,MLB,486.250
Ketel Marte,ARI,2B,MLB,486.000
Mookie Betts,LAD,SS,MLB,482.250
Gavin Williams,CLE,SP,MLB,481.550
Trea Turner,PHI,SS,MLB,480.000
Jack Flaherty,DET,SP,MLB,479.950
Merrill Kelly,ARI,SP,MLB,479.300
Pete Crow-Armstrong,CHC,OF,MLB,479.000
Sandy Alcantara,MIA,SP,MLB,478.850
Jose Soriano,LAA,SP,MLB,475.250
Zach Neto,LAA,SS,MLB,474.750
James Wood,WSH,OF,MLB,474.250
Michael King,SD,SP,MLB,473.950
Mitch Keller,PIT,SP,MLB,472.950
Yordan Alvarez,HOU,OF,MLB,472.500
Yusei Kikuchi,LAA,SP,MLB,472.450
Wyatt Langford,TEX,OF,MLB,471.500
Jazz Chisholm Jr.,NYY,2B,MLB,470.000
Zack Wheeler,PHI,SP,MLB,467.100
Geraldo Perdomo,ARI,SS,MLB,465.750
Maikel Garcia,KC,2B,MLB,463.000
Matthew Boyd,CHC,SP,MLB,461.750
Drew Rasmussen,TB,SP,MLB,460.450
Vinnie Pasquantino,KC,1B,MLB,459.750
Andrew Abbott,CIN,SP,MLB,459.600
Brady Singer,CIN,SP,MLB,459.400
Chris Bassitt,BAL,SP,MLB,458.300
Manny Machado,SD,3B,MLB,458.250
Riley Greene,DET,OF,MLB,456.250
Randy Arozarena,SEA,OF,MLB,455.500
Josh Naylor,SEA,1B,MLB,454.750
Willy Adames,SF,SS,MLB,454.750
Jarren Duran,BOS,OF,MLB,454.250
David Peterson,NYM,SP,MLB,454.200
Brandon Woodruff,MIL,SP,MLB,451.050
Blake Snell,LAD,SP,MLB,450.550
Brandon Pfaadt,ARI,SP,MLB,448.550
Austin Riley,ATL,3B,MLB,448.250
Brice Turang,MIL,2B,MLB,448.000
