name,team,position,projected_points
Kyler Murray,ARI,QB,351.000
Clayton Tune,ARI,QB,74.836
James Conner,ARI,RB,172.500
Trey Benson,ARI,RB,82.100
Emari Demercado,ARI,RB,23.600
Marvin Harrison Jr.,ARI,WR,137.800
Michael Wilson,ARI,WR,76.500
Greg Dortch,ARI,WR,46.900
Zay Jones,ARI,WR,24.500
Trey McBride,ARI,TE,135.900
Elijah Higgins,ARI,TE,19.700
Kirk Cousins,ATL,QB,14.900
Michael Penix Jr.,ATL,QB,313.300
Bijan Robinson,ATL,RB,265.800
Tyler Allgeier,ATL,RB,87.100
Jase McClellan,ATL,RB,55.456
Drake London,ATL,WR,159.700
Darnell Mooney,ATL,WR,115.500
Ray-Ray McCloud,ATL,WR,73.600
Rondale Moore,ATL,WR,27.849
Kyle Pitts,ATL,TE,89.400
Charlie Woerner,ATL,TE,42.006
Lamar Jackson,BAL,QB,422.500
Josh Johnson,BAL,QB,70.969
Derrick Henry,BAL,RB,258.100
Justice Hill,BAL,RB,62.800
Keaton Mitchell,BAL,RB,18.700
Zay Flowers,BAL,WR,148.800
Rashod Bateman,BAL,WR,101.700
Nelson Agholor,BAL,WR,45.426
Devontez Walker,BAL,WR,29.019
Mark Andrews,BAL,TE,116.500
Isaiah Likely,BAL,TE,80.500
Josh Allen,BUF,QB,420.200
Mitchell Trubisky,BUF,QB,14.000
James Cook,BUF,RB,200.100
Ray Davis,BUF,RB,86.200
Ty Johnson,BUF,RB,57.700
Khalil Shakir,BUF,WR,108.800
Keon Coleman,BUF,WR,95.900
Curtis Samuel,BUF,WR,38.000
Mack Hollins,BUF,WR,42.500
Dalton Kincaid,BUF,TE,80.700
Dawson Knox,BUF,TE,40.600
Bryce Young,CAR,QB,308.200
Andy Dalton,CAR,QB,17.700
Chuba Hubbard,CAR,RB,184.900
Jonathon Brooks,CAR,RB,81.714
Miles Sanders,CAR,RB,53.700
Adam Thielen,CAR,WR,56.700
Xavier Legette,CAR,WR,96.700
Jalen Coker,CAR,WR,67.500
David Moore,CAR,WR,29.013
Ja'Tavion Sanders,CAR,TE,65.800
Tommy Tremble,CAR,TE,32.500
Caleb Williams,CHI,QB,339.000
Tyson Bagent,CHI,QB,13.900
D'Andre Swift,CHI,RB,178.900
Roschon Johnson,CHI,RB,66.200
Khalil Herbert,CHI,RB,57.896
DJ Moore,CHI,WR,139.500
Rome Odunze,CHI,WR,126.500
Keenan Allen,CHI,WR,78.500
Tyler Scott,CHI,WR,28.899
Cole Kmet,CHI,TE,34.500
Gerald Everett,CHI,TE,41.887
Joe Burrow,CIN,QB,391.800
Jake Browning,CIN,QB,2.400
Chase Brown,CIN,RB,222.700
Zack Moss,CIN,RB,80.440
Trayveon Williams,CIN,RB,58.700
Ja'Marr Chase,CIN,WR,221.900
Tee Higgins,CIN,WR,136.900
Andrei Iosivas,CIN,WR,69.200
Jermaine Burton,CIN,WR,33.400
Mike Gesicki,CIN,TE,73.200
Erick All Jr.,CIN,TE,41.831
Deshaun Watson,CLE,QB,305.967
Dorian Thompson-Robinson,CLE,QB,72.592
Nick Chubb,CLE,RB,72.400
